	year	quarter	origin	ticket_carrier	operating_carrier	passengers
138977	2008	4	ORD	Alaska Airlines	Alaska Airlines	8
138978	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138979	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138980	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138981	2008	4	ORD	Alaska Airlines	Alaska Airlines	17
138982	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138983	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138984	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
138985	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138986	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138987	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138988	2008	4	ORD	Alaska Airlines	Alaska Airlines	5
138989	2008	4	ORD	Alaska Airlines	Alaska Airlines	8
138990	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138991	2008	4	ORD	Alaska Airlines	Alaska Airlines	7
138992	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138993	2008	4	ORD	Alaska Airlines	Alaska Airlines	4
138994	2008	4	ORD	Alaska Airlines	Alaska Airlines	3
138995	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138996	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138997	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
138998	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138999	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
139000	2008	4	ORD	Alaska Airlines	Alaska Airlines	4
