	year	quarter	origin	ticket_carrier	operating_carrier	passengers
99214	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
99216	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
99218	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
99220	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
99222	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
99224	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
99226	2008	4	ORD	Alaska Airlines	99	1
99228	2008	4	ORD	Alaska Airlines	99	1
99230	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
99236	2008	4	ORD	Delta Air Lines	Delta Air Lines	1
100076	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
101401	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
105022	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
105024	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
105026	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
105028	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
105030	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
105032	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
105034	2008	4	ORD	Alaska Airlines	Alaska Airlines	5
105036	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
105038	2008	4	ORD	Alaska Airlines	Alaska Airlines	3
105040	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
105042	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
105044	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
105046	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
105048	2008	4	ORD	Alaska Airlines	Alaska Airlines	4
105050	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
105052	2008	4	ORD	Alaska Airlines	Alaska Airlines	3
105054	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
105056	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
105058	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
105060	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
105062	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
105064	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
105069	2008	4	ORD	Alaska Airlines	99	1
105090	2008	4	ORD	Alaska Airlines	99	1
105125	2008	4	ORD	Alaska Airlines	99	1
105129	2008	4	ORD	Alaska Airlines	99	1
105151	2008	4	ORD	US Airways	US Airways	1
105165	2008	4	ORD	Alaska Airlines	99	1
105167	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
105169	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
105171	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
105173	2008	4	ORD	Alaska Airlines	Alaska Airlines	6
105175	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
105177	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
105179	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
