	year	 month	carrier	carrier_name	airport	airport_name	arr_flights	arr_del15	carrier_ct	 weather_ct	nas_ct	security_ct	late_aircraft_ct	arr_cancelled	arr_diverted	 arr_delay	 carrier_delay	weather_delay	nas_delay	security_delay	late_aircraft_delay	Unnamed: 21
24	2003	8	AA	American Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	7902.0	1738.0	319.16	74.81	943.27	7.71	393.05	239.0	31.0	128660.0	28523.0	7155.0	63050.0	255.0	29677.0	
25	2003	8	AS	Alaska Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	31.0	3.0	1.99	0.0	0.01	0.0	1.0	0.0	0.0	240.0	202.0	0.0	2.0	0.0	36.0	
26	2003	8	CO	Continental Air Lines Inc.	ORD	Chicago, IL: Chicago O'Hare International	441.0	112.0	13.92	9.0	74.38	0.0	14.7	7.0	2.0	8651.0	1054.0	1092.0	5535.0	0.0	970.0	
27	2003	8	DH	Atlantic Coast Airlines	ORD	Chicago, IL: Chicago O'Hare International	4146.0	704.0	126.26	19.62	411.19	3.14	143.8	156.0	29.0	48903.0	9148.0	1819.0	28715.0	136.0	9085.0	
28	2003	8	DL	Delta Air Lines Inc.	ORD	Chicago, IL: Chicago O'Hare International	499.0	157.0	34.42	1.12	99.59	0.0	21.88	3.0	1.0	10906.0	2417.0	33.0	7136.0	0.0	1320.0	
29	2003	8	EV	Atlantic Southeast Airlines	ORD	Chicago, IL: Chicago O'Hare International	144.0	42.0	14.08	3.99	20.85	0.0	3.08	8.0	0.0	1640.0	417.0	211.0	856.0	0.0	156.0	
30	2003	8	HP	America West Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	243.0	80.0	32.01	1.51	43.13	0.0	3.36	2.0	1.0	4011.0	1735.0	224.0	1959.0	0.0	93.0	
31	2003	8	MQ	American Eagle Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	5808.0	1065.0	105.5	27.55	445.54	1.31	485.1	239.0	19.0	70319.0	9093.0	3201.0	30051.0	31.0	27943.0	
32	2003	8	NW	Northwest Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	694.0	166.0	49.75	36.86	61.63	0.0	17.76	29.0	0.0	8988.0	2535.0	2611.0	2847.0	0.0	995.0	
33	2003	8	RU	ExpressJet Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	194.0	46.0	8.14	1.0	27.07	0.0	9.79	14.0	1.0	2476.0	362.0	84.0	1536.0	0.0	494.0	
